Depth,Age,d18O,Ref,,Depth,Age,UK37,Ref,,Depth,Age,MgCa,Ref
,,,,,75.67,2408.47,0.974,,,,,,
,,,,,75.73,2409.89,0.968,,,,,,
,,,,,75.79,2411.32,0.968,,,,,,
,,,,,75.85,2412.74,0.97,,,,,,
,,,,,75.91,2414.16,0.966,,,,,,
,,,,,75.97,2415.58,0.973,,,,,,
,,,,,76.03,2417.01,0.971,,,,,,
,,,,,76.09,2418.43,0.971,,,,,,
,,,,,76.16,2420.09,0.968,,,,,,
,,,,,76.23,2421.75,0.97,,,,,,
,,,,,76.28,2422.94,0.97,,,,,,
,,,,,76.35,2424.6,0.971,,,,,,
,,,,,76.4,2425.78,0.97,,,,,,
,,,,,76.46,2427.2,0.97,,,,,,
,,,,,76.52,2428.63,0.967,,,,,,
,,,,,76.59,2430.29,0.964,,,,,,
,,,,,76.64,2431.47,0.959,,,,,,
,,,,,76.7,2432.9,0.956,,,,,,
,,,,,76.76,2434.32,0.955,,,,,,
,,,,,76.83,2435.98,0.943,,,,,,
,,,,,76.88,2437.16,0.933,,,,,,
,,,,,76.94,2438.59,0.924,,,,,,
,,,,,77,2440.01,0.929,,,,,,
,,,,,77.06,2441.43,0.928,,,,,,
,,,,,77.13,2443.09,0.937,,,,,,
,,,,,77.18,2444.28,0.945,,,,,,
,,,,,77.24,2445.7,0.946,,,,,,
,,,,,77.33,2447.83,0.949,,,,,,
,,,,,77.39,2449.26,0.938,,,,,,
,,,,,77.45,2450.68,0.945,,,,,,
,,,,,77.51,2452.1,0.95,,,,,,
,,,,,77.58,2453.76,0.959,,,,,,
,,,,,77.63,2454.95,0.958,,,,,,
,,,,,77.69,2456.37,0.952,,,,,,
,,,,,77.75,2457.79,0.958,,,,,,
,,,,,77.82,2459.45,0.962,,,,,,
,,,,,77.88,2460.88,0.968,,,,,,
,,,,,77.93,2462.06,0.971,,,,,,
,,,,,77.99,2463.63,0.969,,,,,,
,,,,,78.05,2465.22,0.968,,,,,,
,,,,,78.11,2466.81,0.965,,,,,,
,,,,,78.17,2468.41,0.973,,,,,,
,,,,,78.23,2470,0.974,,,,,,
,,,,,78.29,2471.59,0.977,,,,,,
,,,,,78.35,2473.19,0.975,,,,,,
,,,,,78.41,2474.78,0.972,,,,,,
,,,,,78.48,2476.64,0.97,,,,,,
,,,,,78.53,2477.96,0.972,,,,,,
,,,,,78.59,2479.56,0.975,,,,,,
,,,,,78.65,2481.15,0.977,,,,,,
,,,,,78.71,2482.74,0.965,,,,,,
,,,,,78.76,2484.07,0.956,,,,,,
,,,,,78.83,2485.93,0.957,,,,,,
,,,,,78.89,2487.52,0.951,,,,,,
,,,,,78.95,2489.11,0.953,,,,,,
,,,,,79.01,2490.71,0.952,,,,,,
,,,,,79.08,2492.57,0.948,,,,,,
,,,,,79.13,2493.89,0.953,,,,,,
,,,,,79.19,2495.49,0.968,,,,,,
,,,,,79.25,2497.08,0.975,,,,,,
,,,,,79.31,2498.67,0.98,,,,,,
,,,,,79.38,2500.65,0.982,,,,,,
,,,,,79.43,2502.28,0.977,,,,,,
,,,,,79.49,2504.23,0.972,,,,,,
,,,,,79.545,2506.02,0.966,,,,,,
,,,,,79.61,2508.14,0.958,,,,,,
,,,,,79.68,2510.41,0.953,,,,,,
,,,,,79.73,2512.04,0.963,,,,,,
,,,,,79.79,2513.99,0.963,,,,,,
,,,,,79.85,2515.95,0.947,,,,,,
,,,,,79.91,2517.9,0.909,,,,,,
,,,,,79.98,2520.04,0.904,,,,,,
,,,,,80.04,2521.71,0.895,,,,,,
,,,,,80.09,2523.11,0.875,,,,,,
,,,,,80.14,2524.5,0.868,,,,,,
,,,,,80.22,2526.74,0.875,,,,,,
,,,,,80.28,2528.41,0.893,,,,,,
,,,,,80.33,2529.81,0.899,,,,,,
,,,,,80.39,2531.49,0.909,,,,,,
,,,,,80.46,2533.44,0.935,,,,,,
,,,,,80.52,2535.11,0.94,,,,,,
,,,,,80.57,2536.51,0.926,,,,,,
,,,,,80.63,2538.19,0.933,,,,,,
,,,,,80.69,2539.86,0.941,,,,,,
,,,,,80.76,2541.82,0.946,,,,,,
,,,,,80.82,2543.49,0.965,,,,,,
,,,,,80.88,2545.17,0.978,,,,,,
,,,,,80.94,2546.84,0.983,,,,,,
,,,,,80.99,2548.57,0.985,,,,,,
,,,,,81.06,2551.28,0.975,,,,,,
,,,,,81.11,2553.23,0.969,,,,,,
,,,,,81.17,2555.56,0.959,,,,,,
,,,,,81.23,2557.89,0.963,,,,,,
,,,,,81.29,2560.22,0.959,,,,,,
,,,,,81.345,2562.36,0.96,,,,,,
,,,,,81.42,2565.27,0.966,,,,,,
,,,,,81.48,2567.6,0.976,,,,,,
,,,,,81.54,2569.93,0.979,,,,,,
,,,,,81.59,2571.87,0.977,,,,,,
,,,,,81.645,2574.01,0.972,,,,,,
,,,,,81.71,2576.54,0.975,,,,,,
,,,,,81.78,2579.26,0.974,,,,,,
,,,,,81.83,2581.2,0.975,,,,,,
,,,,,81.89,2583.53,0.978,,,,,,
,,,,,81.95,2585.86,0.985,,,,,,
,,,,,82.02,2588.58,0.983,,,,,,
,,,,,82.08,2590.91,0.975,,,,,,
,,,,,82.13,2592.85,0.969,,,,,,
,,,,,82.185,2594.99,0.964,,,,,,
,,,,,82.26,2597.9,0.959,,,,,,
,,,,,82.31,2599.85,0.951,,,,,,
,,,,,82.38,2604.2,0.939,,,,,,
,,,,,82.43,2608.87,0.936,,,,,,
,,,,,82.49,2614.47,0.938,,,,,,
,,,,,82.56,2621,0.954,,,,,,
,,,,,82.62,2623.61,0.951,,,,,,
,,,,,82.68,2626.22,0.951,,,,,,
,,,,,82.73,2628.4,0.938,,,,,,
,,,,,82.79,2630.57,0.928,,,,,,
,,,,,82.85,2632.31,0.947,,,,,,
,,,,,82.91,2634.05,0.952,,,,,,
,,,,,82.98,2635.87,0.955,,,,,,
,,,,,83.03,2636.81,0.954,,,,,,
,,,,,83.09,2637.93,0.956,,,,,,
,,,,,83.145,2638.95,0.957,,,,,,
,,,,,83.22,2640.35,0.962,,,,,,
,,,,,83.28,2641.47,0.964,,,,,,
,,,,,83.33,2642.4,0.962,,,,,,
,,,,,83.39,2643.52,0.952,,,,,,
,,,,,83.46,2644.83,0.944,,,,,,
,,,,,83.505,2646.41,0.945,,,,,,
,,,,,83.57,2649.55,0.954,,,,,,
,,,,,83.63,2652.44,0.961,,,,,,
,,,,,83.69,2655.34,0.967,,,,,,
,,,,,83.745,2658,0.972,,,,,,
,,,,,83.82,2661.62,0.98,,,,,,
,,,,,83.88,2664.52,0.972,,,,,,
,,,,,83.93,2666.93,0.962,,,,,,
,,,,,83.99,2669.83,0.955,,,,,,
,,,,,84.045,2672.49,0.959,,,,,,
,,,,,84.11,2675.63,0.969,,,,,,
,,,,,84.18,2679.01,0.975,,,,,,
,,,,,84.24,2681.9,0.978,,,,,,
,,,,,84.29,2684.32,0.971,,,,,,
,,,,,84.35,2687.22,0.961,,,,,,
,,,,,84.42,2689.13,0.958,,,,,,
,,,,,84.48,2690.56,0.949,,,,,,
,,,,,84.53,2691.76,0.949,,,,,,
,,,,,84.59,2693.19,0.959,,,,,,
,,,,,84.645,2694.5,0.964,,,,,,
,,,,,84.71,2696.05,0.975,,,,,,
,,,,,84.78,2697.72,0.974,,,,,,
,,,,,84.83,2698.91,0.971,,,,,,
,,,,,84.89,2700.34,0.97,,,,,,
,,,,,84.95,2701.77,0.959,,,,,,
,,,,,85.01,2703.21,0.947,,,,,,
,,,,,85.07,2704.64,0.95,,,,,,
,,,,,85.14,2706.31,0.931,,,,,,
,,,,,85.19,2707.5,0.918,,,,,,
,,,,,85.26,2710.52,0.922,,,,,,
,,,,,85.31,2712.67,0.923,,,,,,
,,,,,85.38,2715.69,0.933,,,,,,
,,,,,85.43,2717.85,0.94,,,,,,
,,,,,85.49,2720.44,0.947,,,,,,
,,,,,85.56,2723.45,0.955,,,,,,
,,,,,85.62,2726.04,0.958,,,,,,
,,,,,85.68,2728.63,0.97,,,,,,
,,,,,85.73,2730.78,0.97,,,,,,
,,,,,85.79,2733.37,0.969,,,,,,
,,,,,85.845,2735.74,0.969,,,,,,
,,,,,85.91,2738.54,0.968,,,,,,
,,,,,85.98,2741.56,0.971,,,,,,
,,,,,86.03,2743.72,0.97,,,,,,
,,,,,86.09,2746.31,0.975,,,,,,
,,,,,86.16,2749.32,0.98,,,,,,
,,,,,86.22,2751.91,0.984,,,,,,
,,,,,86.33,2756.65,0.988,,,,,,
,,,,,86.39,2759.24,0.987,,,,,,
,,,,,86.45,2761.83,0.982,,,,,,
,,,,,86.51,2764.41,0.974,,,,,,
,,,,,86.58,2767.43,0.965,,,,,,
,,,,,86.62,2769.16,0.961,,,,,,
,,,,,86.69,2772.18,0.96,,,,,,
,,,,,86.74,2774.19,0.956,,,,,,
,,,,,86.82,2776.51,0.968,,,,,,
,,,,,86.88,2778.24,0.967,,,,,,
,,,,,86.93,2779.69,0.972,,,,,,
,,,,,86.99,2781.43,0.975,,,,,,
,,,,,87.06,2783.45,0.973,,,,,,
,,,,,87.11,2784.9,0.971,,,,,,
,,,,,87.17,2786.64,0.969,,,,,,
,,,,,87.23,2788.38,0.969,,,,,,
,,,,,87.29,2790.11,0.965,,,,,,
,,,,,87.35,2791.85,0.97,,,,,,
,,,,,87.41,2793.59,0.971,,,,,,
,,,,,87.47,2795.32,0.973,,,,,,
,,,,,87.52,2796.77,0.972,,,,,,
,,,,,87.59,2798.8,0.974,,,,,,
,,,,,87.65,2800.54,0.97,,,,,,
,,,,,87.69,2801.69,0.965,,,,,,
,,,,,87.76,2803.72,0.96,,,,,,
,,,,,87.83,2808.43,0.958,,,,,,
,,,,,87.88,2812.56,0.958,,,,,,
,,,,,87.94,2817.52,0.964,,,,,,
,,,,,88.01,2823.3,0.971,,,,,,
,,,,,88.07,2825.58,0.971,,,,,,
,,,,,88.13,2827.86,0.974,,,,,,
,,,,,88.18,2829.76,0.974,,,,,,
,,,,,88.24,2832.03,0.976,,,,,,
,,,,,88.3,2834.31,0.978,,,,,,
,,,,,88.36,2836.59,0.976,,,,,,
,,,,,88.43,2839.25,0.977,,,,,,
,,,,,88.49,2841.53,0.969,,,,,,
,,,,,88.54,2843.43,0.962,,,,,,
,,,,,88.6,2845.71,0.96,,,,,,
,,,,,88.67,2848.36,0.96,,,,,,
,,,,,88.72,2850.26,0.963,,,,,,
,,,,,88.78,2852.54,0.969,,,,,,
,,,,,88.84,2854.82,0.971,,,,,,
,,,,,88.9,2857.1,0.97,,,,,,
,,,,,88.96,2859.38,0.965,,,,,,
,,,,,89.02,2861.65,0.964,,,,,,
,,,,,89.08,2863.93,0.966,,,,,,
,,,,,89.14,2866.21,0.967,,,,,,
,,,,,89.2,2868.49,0.967,,,,,,
,,,,,89.27,2871.15,0.971,,,,,,
,,,,,89.32,2873.05,0.971,,,,,,
,,,,,89.38,2875.33,0.968,,,,,,
,,,,,89.45,2877.98,0.955,,,,,,
,,,,,89.5,2879.88,0.95,,,,,,
,,,,,89.56,2882.16,0.948,,,,,,
,,,,,89.62,2884.44,0.949,,,,,,
,,,,,89.68,2886.72,0.957,,,,,,
,,,,,89.74,2889,0.963,,,,,,
,,,,,89.81,2891.66,0.97,,,,,,
,,,,,89.86,2893.55,0.977,,,,,,
,,,,,89.92,2895.83,0.973,,,,,,
,,,,,89.98,2898.11,0.97,,,,,,
,,,,,90.04,2900.39,0.955,,,,,,
,,,,,90.11,2903.05,0.946,,,,,,
,,,,,90.16,2904.95,0.945,,,,,,
,,,,,90.23,2907.6,0.945,,,,,,
,,,,,90.28,2909.5,0.948,,,,,,
,,,,,90.34,2911.78,0.951,,,,,,
,,,,,90.4,2914.06,0.959,,,,,,
,,,,,90.47,2916.72,0.952,,,,,,
,,,,,90.53,2919,0.951,,,,,,
,,,,,90.58,2920.9,0.95,,,,,,
,,,,,90.64,2923.17,0.943,,,,,,
,,,,,90.7,2925.45,0.941,,,,,,
,,,,,90.76,2927.7,0.933,,,,,,
,,,,,90.83,2930.21,0.945,,,,,,
,,,,,90.88,2932,0.953,,,,,,
,,,,,90.94,2934.15,0.963,,,,,,
,,,,,91,2936.3,0.97,,,,,,
,,,,,91.06,2938.45,0.971,,,,,,
,,,,,91.12,2940.6,0.978,,,,,,
,,,,,91.18,2942.75,0.977,,,,,,
,,,,,91.24,2944.9,0.974,,,,,,
,,,,,91.3,2947.05,0.967,,,,,,
,,,,,91.36,2949.2,0.96,,,,,,
,,,,,91.44,2952.07,0.961,,,,,,
,,,,,91.49,2953.86,0.959,,,,,,
,,,,,91.54,2955.65,0.959,,,,,,
,,,,,91.59,2957.44,0.961,,,,,,
,,,,,91.67,2960.31,0.971,,,,,,
,,,,,91.73,2962.46,0.975,,,,,,
,,,,,91.78,2964.25,0.975,,,,,,
,,,,,91.84,2966.4,0.975,,,,,,
,,,,,91.9,2968.55,0.968,,,,,,
,,,,,91.96,2970.7,0.961,,,,,,
,,,,,92.03,2973.21,0.953,,,,,,
,,,,,92.08,2975,0.943,,,,,,
,,,,,92.14,2978.17,0.949,,,,,,
,,,,,92.2,2981.33,0.952,,,,,,
,,,,,92.26,2984.5,0.958,,,,,,
,,,,,92.32,2987.67,0.966,,,,,,
,,,,,92.38,2990.83,0.97,,,,,,
,,,,,92.44,2994,0.973,,,,,,
,,,,,92.5,2997.17,0.973,,,,,,
,,,,,92.56,3000.33,0.966,,,,,,
,,,,,92.63,3004.03,0.958,,,,,,
,,,,,92.69,3007.19,0.939,,,,,,
,,,,,92.74,3009.83,0.943,,,,,,
,,,,,92.8,3013,0.932,,,,,,
,,,,,92.86,3015.6,0.938,,,,,,
,,,,,92.93,3018.63,0.946,,,,,,
,,,,,92.99,3021.22,0.951,,,,,,
,,,,,93.04,3023.39,0.957,,,,,,
,,,,,93.1,3025.99,0.966,,,,,,
,,,,,93.16,3028.58,0.969,,,,,,
,,,,,93.23,3031.61,0.968,,,,,,
,,,,,93.29,3034.21,0.956,,,,,,
,,,,,93.34,3036.37,0.951,,,,,,
,,,,,93.4,3038.97,0.944,,,,,,
,,,,,93.47,3042,0.943,,,,,,
,,,,,93.53,3043.73,0.944,,,,,,
,,,,,93.58,3045.18,0.949,,,,,,
,,,,,93.64,3046.92,0.954,,,,,,
,,,,,93.7,3048.65,0.963,,,,,,
,,,,,93.76,3050.39,0.967,,,,,,
,,,,,93.83,3052.41,0.971,,,,,,
,,,,,93.88,3053.86,0.978,,,,,,
,,,,,93.95,3055.88,0.977,,,,,,
,,,,,94,3057.33,0.974,,,,,,
,,,,,94.06,3059.06,0.966,,,,,,
,,,,,94.13,3061.08,0.952,,,,,,
,,,,,94.18,3062.53,0.956,,,,,,
,,,,,94.24,3064.27,0.952,,,,,,
,,,,,94.3,3066,0.948,,,,,,
,,,,,94.35,3067.17,0.951,,,,,,
,,,,,94.43,3069.05,0.96,,,,,,
,,,,,94.48,3070.22,0.97,,,,,,
,,,,,94.54,3071.63,0.977,,,,,,
,,,,,94.59,3072.8,0.976,,,,,,
,,,,,94.67,3074.68,0.969,,,,,,
,,,,,94.73,3076.08,0.963,,,,,,
,,,,,94.78,3077.26,0.96,,,,,,
,,,,,94.84,3078.66,0.961,,,,,,
,,,,,94.9,3080.07,0.964,,,,,,
,,,,,94.96,3081.48,0.961,,,,,,
,,,,,95.02,3082.88,0.966,,,,,,
,,,,,95.08,3084.29,0.972,,,,,,
,,,,,95.15,3085.93,0.981,,,,,,
,,,,,95.2,3087.1,0.983,,,,,,
,,,,,95.27,3088.74,0.986,,,,,,
,,,,,95.34,3090.39,0.98,,,,,,
,,,,,95.44,3092.73,0.976,,,,,,
,,,,,95.5,3094.14,0.976,,,,,,
,,,,,95.56,3095.54,0.968,,,,,,
,,,,,95.63,3097.19,0.965,,,,,,
,,,,,95.69,3098.59,0.965,,,,,,
,,,,,95.75,3100,0.963,,,,,,
,,,,,95.81,3101.52,0.962,,,,,,
,,,,,95.86,3102.79,0.963,,,,,,
,,,,,95.93,3104.56,0.967,,,,,,
,,,,,95.99,3106.08,0.973,,,,,,
,,,,,96.04,3107.35,0.968,,,,,,
,,,,,96.1,3108.87,0.97,,,,,,
,,,,,96.17,3110.64,0.984,,,,,,
,,,,,96.23,3112.16,0.983,,,,,,
,,,,,96.29,3113.68,0.973,,,,,,
,,,,,96.34,3114.95,0.974,,,,,,
,,,,,96.41,3116.72,0.966,,,,,,
,,,,,96.48,3118.49,0.966,,,,,,
,,,,,96.53,3119.76,0.979,,,,,,
,,,,,96.58,3121.03,0.964,,,,,,
,,,,,96.64,3122.55,0.96,,,,,,
,,,,,96.7,3124.07,0.964,,,,,,
,,,,,96.76,3125.59,0.967,,,,,,
,,,,,96.82,3127.11,0.969,,,,,,
,,,,,96.89,3128.88,0.973,,,,,,
,,,,,96.96,3130.65,0.977,,,,,,
,,,,,97.01,3131.92,0.969,,,,,,
,,,,,97.07,3133.44,0.962,,,,,,
,,,,,97.13,3134.96,0.954,,,,,,
,,,,,97.19,3136.48,0.943,,,,,,
,,,,,97.25,3138,0.954,,,,,,
,,,,,97.49,3147.82,0.954,,,,,,
,,,,,97.52,3149.05,0.973,,,,,,
,,,,,97.57,3151.09,0.973,,,,,,
,,,,,97.61,3152.73,0.973,,,,,,
,,,,,97.65,3154.36,0.973,,,,,,
,,,,,97.69,3156,0.973,,,,,,
,,,,,97.73,3157.97,0.975,,,,,,
,,,,,97.77,3159.94,0.973,,,,,,
,,,,,97.81,3161.91,0.967,,,,,,
,,,,,97.86,3164.37,0.968,,,,,,
,,,,,97.9,3166.34,0.965,,,,,,
,,,,,97.93,3167.82,0.964,,,,,,
,,,,,97.97,3169.78,0.963,,,,,,
,,,,,98.02,3172.25,0.958,,,,,,
,,,,,98.06,3174.22,0.955,,,,,,
,,,,,98.1,3176.18,0.958,,,,,,
,,,,,98.13,3177.66,0.946,,,,,,
,,,,,98.17,3179.63,0.948,,,,,,
,,,,,98.21,3181.6,0.955,,,,,,
,,,,,98.3,3186.03,0.955,,,,,,
,,,,,98.34,3188,0.966,,,,,,
,,,,,98.38,3189.93,0.967,,,,,,
,,,,,98.41,3191.39,0.968,,,,,,
,,,,,98.46,3193.8,0.967,,,,,,
,,,,,98.49,3195.26,0.969,,,,,,
,,,,,98.53,3197.19,0.972,,,,,,
,,,,,98.57,3199.13,0.968,,,,,,
,,,,,98.61,3201.06,0.967,,,,,,
,,,,,98.65,3203,0.965,,,,,,
,,,,,98.7,3205.41,0.962,,,,,,
,,,,,98.74,3207.35,0.961,,,,,,
,,,,,98.78,3209.28,0.961,,,,,,
,,,,,98.81,3210.73,0.959,,,,,,
,,,,,98.85,3212.67,0.96,,,,,,
,,,,,98.88,3214.12,0.961,,,,,,
,,,,,98.93,3216.54,0.963,,,,,,
,,,,,98.99,3219.44,0.963,,,,,,
,,,,,99.05,3222.34,0.958,,,,,,
,,,,,99.11,3225.25,0.97,,,,,,
,,,,,99.18,3228.63,0.975,,,,,,
,,,,,99.24,3231.53,0.973,,,,,,
,,,,,99.29,3233.95,0.961,,,,,,
,,,,,99.36,3237.34,0.957,,,,,,
,,,,,99.48,3243.14,0.965,,,,,,
,,,,,99.53,3245.56,0.954,,,,,,
,,,,,99.59,3248.47,0.956,,,,,,
,,,,,99.65,3251.37,0.96,,,,,,
,,,,,99.71,3254.27,0.967,,,,,,
,,,,,99.79,3258.14,0.961,,,,,,
,,,,,99.84,3260.56,0.959,,,,,,
,,,,,99.89,3262.98,0.954,,,,,,
,,,,,99.95,3265.88,0.952,,,,,,
,,,,,100.02,3269.27,0.954,,,,,,
,,,,,100.07,3271.68,0.958,,,,,,
,,,,,100.13,3274.59,0.95,,,,,,
,,,,,100.2,3277.97,0.948,,,,,,
,,,,,100.26,3280.87,0.939,,,,,,
,,,,,100.32,3283.78,0.949,,,,,,
,,,,,100.38,3286.68,0.938,,,,,,
,,,,,100.43,3289.1,0.941,,,,,,
,,,,,100.49,3292,0.939,,,,,,
,,,,,100.55,3294.24,0.94,,,,,,
,,,,,100.61,3296.48,0.951,,,,,,
,,,,,100.66,3298.35,0.953,,,,,,
,,,,,100.72,3300.59,0.918,,,,,,
,,,,,100.79,3303.21,0.929,,,,,,
,,,,,100.84,3305.08,0.952,,,,,,
,,,,,100.91,3307.69,0.964,,,,,,
,,,,,100.97,3309.93,0.971,,,,,,
,,,,,101.03,3312.18,0.937,,,,,,
,,,,,101.09,3314.42,0.933,,,,,,
,,,,,101.15,3316.66,0.94,,,,,,
,,,,,101.22,3319.27,0.961,,,,,,
,,,,,101.27,3321.14,0.94,,,,,,
,,,,,101.34,3323.76,0.917,,,,,,
,,,,,101.4,3326,0.919,,,,,,
,,,,,101.45,3327.87,0.908,,,,,,
,,,,,101.52,3330.48,0.928,,,,,,