Depth,Age,d18O,Ref,,Depth,Age,UK37,Ref,,Depth,Age,MgCa,Ref,,Depth,Age,Benthic_d18O,Ref
3,4.3,-2.3,Lea2000,,10.348,500,,McClymont2005,,3,4.3,3.86,Lea2000,,0.09,0,2.33,Link
8,6,-2.4,,,10.469,505,,,,8,6,3.89,,,0.19,12,2.47,
10,6.5,-2.27,,,10.589,510,,,,10,6.5,4.08,,,0.29,19,3.01,
13,7.3,-2.27,,,10.711,515,0.994,,,13,7.3,4.01,,,0.39,53,3.68,
18,8.6,-2.03,,,10.834,520,,,,18,8.6,3.8,,,0.49,65,4.06,
20,9.1,-1.96,,,10.963,525,,,,20,9.1,4.08,,,0.59,80,3.78,
23,9.9,-2.14,,,11.092,530,,,,23,9.9,4.04,,,0.69,99,3.82,
28,11.2,-1.84,,,11.228,535,0.985,,,28,11.2,3.98,,,0.79,122,3.64,
30,11.7,-1.72,,,11.368,540,,,,30,11.7,3.88,,,0.89,135,3.54,
33,12.5,-1.98,,,11.509,545,0.983,,,33,12.5,3.87,,,0.99,183,3.56,
38,13.8,-1.57,,,11.651,550,0.993,,,38,13.8,3.71,,,1.09,194,3.63,
40,14.3,-1.37,,,11.789,555,0.986,,,40,14.3,3.72,,,1.19,228,3.29,
43,15.1,-1.51,,,11.92,560,,,,43,15.1,3.62,,,1.29,238,3.21,
50,16.9,-1.16,,,12.048,565,,,,50,16.9,3.07,,,1.39,249,3.55,
58,19,-1.33,,,12.172,570,0.994,,,58,19,3.14,,,1.48,269,3.55,
60,19.7,-1.12,,,12.292,575,,,,60,19.7,,,,1.59,287,3.32,
63,20.7,-1.32,,,12.405,580,,,,63,20.7,3.19,,,1.69,299,2.87,
68,22.3,-1.35,,,12.518,585,0.982,,,68,22.3,3.11,,,1.79,331,3.05,
70,23,-1.39,,,12.633,590,,,,70,23,3.07,,,1.89,341,3.23,
73,24,-1.38,,,12.751,595,0.994,,,73,24,3.05,,,1.99,362,2.97,
78,26.9,-1.57,,,12.872,600,0.993,,,78,26.9,3.31,,,2.09,405,2.78,
80,28.1,-1.38,,,12.996,605,,,,80,28.1,3.17,,,2.19,434,3.1,
83,29.8,-1.54,,,13.117,610,,,,83,29.8,3.13,,,2.29,471,2.83,
88,32.7,-1.63,,,13.264,615,0.992,,,88,32.7,3.16,,,2.39,491,3.17,
90,33.9,-1.47,,,13.363,620,,,,90,33.9,3.31,,,2.49,513,2.81,
93,35.6,-1.44,,,13.488,625,0.993,,,93,35.6,3.14,,,2.58,552,2.08,
98,38.5,-1.61,,,13.613,630,0.987,,,98,38.5,3.17,,,2.69,574,3.76,
100,39.7,-1.35,,,13.737,635,,,,100,39.7,,,,2.79,585,3.86,
103,41.4,-1.54,,,13.858,640,0.980,,,103,41.4,3.08,,,2.89,617,3.91,
108,44.3,-1.57,,,13.979,645,0.992,,,108,44.3,3.18,,,2.98,628,3.65,
110,45.5,-1.36,,,14.099,650,,,,110,45.5,3.19,,,3.09,,3.66,
113,47.2,-1.67,,,14.218,655,0.988,,,113,47.2,3.25,,,3.19,,3.42,
118,50.1,-1.54,,,14.335,660,,,,118,50.1,3.11,,,3.29,,3.69,
120,51.3,-1.61,,,14.45,665,,,,120,51.3,3.17,,,3.39,,3.55,
123,53,-1.95,,,14.564,670,0.996,,,123,53,3.21,,,3.49,,3.39,
128,56,-1.64,,,14.672,675,,,,128,56,3.09,,,3.59,,3.47,
130,57.2,-1.47,,,14.779,680,0.995,,,130,57.2,3.24,,,3.69,,3.5,
133,59,-1.62,,,14.884,685,0.993,,,133,59,3.31,,,3.79,,3.3,
138,62,-1.5,,,14.987,690,0.997,,,138,62,3.2,,,3.89,,2.79,
140,63.2,-1.37,,,15.037,692.5,,,,140,63.2,3.33,,,3.99,,2.79,
143,65,-1.36,,,15.087,695,0.997,,,143,65,3.32,,,4.08,,2.75,
148,67.1,-1.36,,,15.187,700,,,,148,67.1,3.17,,,4.14,,2.56,
150,68,-1.44,,,15.284,705,0.997,,,150,68,,,,4.59,,3.32,
153,69.3,-1.74,,,15.381,710,,,,153,69.3,3.08,,,4.69,,3.51,
158,71.4,-1.49,,,15.475,715,,,,158,71.4,3.28,,,4.79,,3.5,
160,72.3,-1.43,,,15.571,720,,,,160,72.3,,,,4.89,,2.71,
163,73.6,-1.85,,,15.667,725,0.992,,,163,73.6,3.3,,,4.99,,2.78,
168,75.7,-1.91,,,15.76,730,0.983,,,168,75.7,3.46,,,5.09,,2.54,
170,76.6,-1.73,,,15.857,735,0.995,,,170,76.6,3.44,,,5.19,,3.38,
173,77.9,-1.92,,,15.953,740,,,,173,77.9,3.45,,,5.29,,3.73,
178,80,-1.98,,,16.047,745,,,,178,80,3.54,,,5.39,,3.67,
180,82.8,-1.83,,,16.14,750,,,,180,82.8,3.75,,,5.49,,3.56,
183,87,-1.81,,,12.846,755,,,,183,87,3.47,,,5.58,,3.61,
188,89.1,-1.82,,,12.908,760,0.987,,,188,89.1,3.8,,,5.68,,3.52,
190,89.9,-1.83,,,13.006,765,0.985,,,190,89.9,,,,5.79,,3.65,
194,91.6,-1.91,,,13.092,770,0.976,,,194,91.6,3.57,,,5.89,,3.28,
199,93.6,-1.88,,,13.178,775,0.991,,,199,93.6,3.59,,,5.98,,2.97,
200,94,-1.92,,,13.262,780,,,,200,94,3.57,,,6.09,,2.94,
203,95.3,-1.94,,,13.344,785,,,,203,95.3,3.43,,,6.19,,2.83,
209,97.8,-1.84,,,16.12,790,0.987,,,209,97.8,3.52,,,6.29,,3.4,
210,98.2,-1.89,,,16.232,795,0.997,,,210,98.2,,,,6.59,,2.96,
212,99,-2.08,,,16.34,800,,,,212,99,3.6,,,6.69,,2.41,
218,101.3,-1.94,,,16.46,805,0.972,,,218,101.3,3.43,,,6.79,,2.67,
220,102,-1.93,,,16.57,810,,,,220,102,3.7,,,6.99,,3,
223,103.2,-1.73,,,16.667,815,0.993,,,223,103.2,3.5,,,7.09,,3.5,
229,105.5,-1.87,,,16.776,820,,,,229,105.5,3.54,,,7.19,,3.69,
230,105.9,-1.97,,,16.873,825,,,,230,105.9,,,,7.29,,3.59,
233,107,-1.75,,,16.967,830,,,,233,107,3.52,,,7.39,,3.47,
238,110.4,-1.89,,,17.058,835,0.992,,,238,110.4,3.66,,,7.49,,3.24,
240,111.8,-2.06,,,17.15,840,,,,240,111.8,,,,7.59,,3.43,
243,113.8,-1.58,,,17.245,845,0.994,,,243,113.8,3.59,,,7.69,,3.39,
248,117.2,-2.07,,,17.337,850,,,,248,117.2,3.76,,,7.79,,3.39,
250,118.6,-2.3,,,17.422,855,,,,250,118.6,,,,7.89,,3.28,
255,122,-2.47,,,17.514,860,0.993,,,255,122,3.94,,,7.98,,2.84,
258,123.4,-2.13,,,17.6,865,,,,258,123.4,4.22,,,8.09,,2.9,
260,124.3,-2.22,,,17.692,870,0.997,,,260,124.3,,,,8.19,,2.6,
263,125.7,-2.24,,,17.869,880,0.987,,,263,125.7,4.05,,,8.29,,2.5,
268,128,-1.86,,,17.955,885,0.979,,,268,128,4.18,,,8.39,,2.46,
270,128.9,-1.85,,,18.046,890,,,,270,128.9,3.99,,,8.49,,2.39,
273,130.2,-1.25,,,18.141,895,0.983,,,273,130.2,3.84,,,8.69,,2.98,
278,132.4,-1.16,,,18.237,900,0.981,,,278,132.4,3.55,,,8.79,,3.09,
280,133.3,-1.34,,,18.332,905,0.982,,,280,133.3,3.23,,,8.89,,4.01,
284,135,-1.1,,,18.428,910,0.988,,,284,135,3.33,,,8.99,,4.03,
288,138.4,-1.1,,,18.523,915,0.989,,,288,138.4,3.19,,,9.09,,3.93,
290,140.1,-1.24,,,18.618,920,,,,290,140.1,3.06,,,9.19,,3.63,
293,142.6,-1.26,,,18.714,925,0.991,,,293,142.6,3.36,,,9.29,,3.79,
297,146,-1.39,,,18.809,930,0.989,,,297,146,3.52,,,9.39,,3.61,
300,146.6,-1.24,,,19.013,940,0.993,,,300,146.6,3.39,,,9.48,,3.47,
303,147.9,-1.3,,,19.135,945,0.992,,,303,147.9,3.53,,,9.59,,3.51,
308,149.4,-1.25,,,19.258,950,0.996,,,308,149.4,3.23,,,9.69,,3.56,
313,151,-1.17,,,19.38,955,0.997,,,313,151,3.47,,,9.79,,3.97,
318,153.9,-1.2,,,19.625,965,,,,318,153.9,3.28,,,9.89,,3.5,
323,156.7,-1.5,,,19.747,970,0.994,,,323,156.7,3.21,,,9.99,,3.38,
328,159.6,-1.46,,,19.986,980,0.985,,,328,159.6,3.27,,,10.09,,2.99,
333,162.4,-1.56,,,20.102,985,0.993,,,333,162.4,3.25,,,10.19,,2.64,
338,165.3,-1.4,,,20.336,995,0.996,,,338,165.3,3.17,,,10.29,,2.93,
343,168.1,-1.65,,,20.452,1000,,,,343,168.1,3.29,,,10.39,,3,
348,171,-1.65,,,20.569,1005,0.989,,,348,171,3.2,,,10.49,,3.11,
353,172.6,-1.54,,,20.686,1010,0.996,,,353,172.6,3.36,,,10.59,,3.01,
358,174.1,-1.45,,,20.803,1015,0.997,,,358,174.1,3.42,,,10.69,,3.34,
363,175.7,-1.49,,,20.921,1020,,,,363,175.7,3.26,,,10.79,,3.25,
368,177.3,-1.6,,,21.04,1025,0.995,,,368,177.3,3.19,,,10.89,,3.11,
373,178.9,-1.42,,,21.158,1030,0.989,,,373,178.9,3.25,,,10.98,,3.06,
378,180.4,-1.58,,,21.277,1035,0.983,,,378,180.4,3.5,,,11.09,,3.28,
383,182,-1.13,,,21.395,1040,0.994,,,383,182,3.28,,,11.19,,3.13,
388,184,-1.34,,,21.514,1045,,,,388,184,3.41,,,11.29,,3.69,
393,186,-1.57,,,21.632,1050,0.991,,,393,186,3.39,,,11.39,,3.55,
398,188.3,-1.81,,,22.112,1070,,,,398,188.3,3.3,,,11.49,,3.65,
403,190.5,-1.84,,,22.232,1075,0.976,,,403,190.5,3.74,,,11.59,,3.42,
408,192.8,-1.79,,,22.352,1080,,,,408,192.8,3.56,,,11.69,,3.35,
413,195,-1.88,,,22.472,1085,0.980,,,413,195,3.65,,,11.79,,3.19,
418,197.3,-1.76,,,22.592,1090,,,,418,197.3,3.82,,,11.89,,2.96,
453,213.7,-1.76,,,22.682,1095,0.997,,,453,213.7,3.93,,,11.99,,2.94,
458,216,-1.92,,,22.773,1100,,,,458,216,4.05,,,12.08,,2.95,
463,219.8,-1.33,,,22.863,1105,,,,463,219.8,3.87,,,12.19,,2.47,
468,223.5,-1.42,,,22.954,1110,0.992,,,468,223.5,3.66,,,12.29,,2.68,
474,228,-1.39,,,23.044,1115,0.992,,,474,228,3.11,,,12.39,,3.16,
478,229.4,-1.4,,,23.135,1120,0.994,,,478,229.4,3.28,,,12.59,,3.49,
484,231.4,-1.61,,,23.225,1125,,,,484,231.4,3.56,,,12.69,,3.34,
488,232.8,-1.71,,,23.316,1130,0.986,,,488,232.8,3.37,,,12.79,,3.03,
494,234.9,-1.86,,,23.406,1135,0.999,,,494,234.9,3.75,,,12.89,,2.96,
498,236.3,-1.82,,,23.497,1140,,,,498,236.3,3.77,,,12.99,,3.21,
503,238,-1.99,,,23.575,1145,,,,503,238,3.66,,,13.09,,2.85,
508,240.3,-1.85,,,23.652,1150,,,,508,240.3,3.89,,,13.19,,3.09,
513,242.7,-1.69,,,23.73,1155,,,,513,242.7,3.91,,,13.29,,2.98,
518,245,-1.7,,,23.808,1160,0.985,,,518,245,4.1,,,13.39,,2.61,
523,245.8,-1.54,,,23.885,1165,0.987,,,523,245.8,3.94,,,13.49,,3.78,
528,246.7,-1.47,,,23.963,1170,0.994,,,528,246.7,3.32,,,13.58,,4.19,
533,247.5,-1.45,,,24.041,1175,0.997,,,533,247.5,3.5,,,13.69,,3.64,
538,248.3,-1.41,,,24.118,1180,,,,538,248.3,3.26,,,13.79,,4.14,
543,249.2,-1.43,,,24.196,1185,0.995,,,543,249.2,3.42,,,13.89,,3.92,
548,250,-1.32,,,24.273,1190,,,,548,250,3.32,,,13.98,,3.72,
553,251.2,-1.53,,,24.351,1195,0.992,,,553,251.2,3.33,,,,,,
558,252.3,-1.17,,,24.429,1200,0.999,,,558,252.3,3.46,,,,,,
564,253.7,-1.34,,,24.524,1205,,,,564,253.7,3.53,,,,,,
568,254.7,-1.31,,,24.811,1220,0.998,,,568,254.7,3.28,,,,,,
573,255.8,-1.26,,,24.906,1225,,,,573,255.8,3.12,,,,,,
578,257,-1.58,,,25.001,1230,,,,578,257,3.31,,,,,,
583,259.4,-1.39,,,25.097,1235,,,,583,259.4,3.27,,,,,,
588,261.8,-1.51,,,25.192,1240,0.998,,,588,261.8,3.14,,,,,,
593,264.2,-1.53,,,25.287,1245,0.992,,,593,264.2,3.4,,,,,,
598,266.6,-1.65,,,25.383,1250,0.994,,,598,266.6,3.39,,,,,,
603,269,-1.35,,,25.478,1255,0.994,,,603,269,3.32,,,,,,
608,273.5,-1.35,,,25.574,1260,,,,608,273.5,3.16,,,,,,
613,278,-1.41,,,25.669,1265,,,,613,278,3.53,,,,,,
618,282.5,-1.37,,,25.764,1270,,,,618,282.5,3.65,,,,,,
623,287,-1.69,,,25.88,1275,,,,623,287,4.01,,,,,,
628,289,-1.59,,,25.955,1280,,,,628,289,3.57,,,,,,
653,299,-1.54,,,26.071,1285,,,,653,299,3.89,,,,,,
658,302.7,-1.85,,,26.168,1290,,,,658,302.7,3.66,,,,,,
663,306.3,-1.86,,,26.264,1295,0.979,,,663,306.3,3.64,,,,,,
668,310,-2.01,,,26.361,1300,0.990,,,668,310,3.43,,,,,,
673,313.8,-1.91,,,26.457,1305,0.986,,,673,313.8,3.92,,,,,,
678,317.6,-1.68,,,26.554,1310,,,,678,317.6,3.66,,,,,,
683,321.5,-1.78,,,26.651,1315,0.992,,,683,321.5,3.74,,,,,,
688,325.3,-1.75,,,26.747,1320,,,,688,325.3,3.95,,,,,,
693,329.1,-1.67,,,26.844,1325,,,,693,329.1,3.79,,,,,,
698,335,-1.8,,,26.94,1330,0.998,,,698,335,3.8,,,,,,
703,343,-1.14,,,27.037,1335,0.987,,,703,343,3.53,,,,,,
708,345.3,-1.23,,,27.133,1340,,,,708,345.3,3.2,,,,,,
713,347.5,-1.25,,,27.22,1345,0.978,,,713,347.5,3.25,,,,,,
718,349.8,-1.27,,,27.423,1355,0.992,,,718,349.8,3.59,,,,,,
723,352,-1.04,,,27.616,1365,,,,723,352,3.05,,,,,,
728,353.6,-1.05,,,27.713,1370,,,,728,353.6,2.92,,,,,,
733,355.2,-1.19,,,27.809,1375,,,,733,355.2,3.08,,,,,,
743,358.4,-1.41,,,27.914,1380,0.995,,,743,358.4,3.29,,,,,,
748,360,-1.29,,,28.019,1385,0.992,,,748,360,3.07,,,,,,
758,363.2,-1.47,,,28.124,1390,,,,758,363.2,2.89,,,,,,
763,364.8,-1.43,,,28.229,1395,0.987,,,763,364.8,2.9,,,,,,
768,366.4,-1.57,,,28.334,1400,0.991,,,768,366.4,3.01,,,,,,
773,368,-1.63,,,28.439,1405,,,,773,368,2.85,,,,,,
778,371.5,-1.57,,,28.544,1410,,,,778,371.5,3.05,,,,,,
783,375,-1.42,,,28.65,1415,0.995,,,783,375,3.49,,,,,,
788,378,-1.54,,,28.755,1420,0.998,,,788,378,3.29,,,,,,
793,381,-1.69,,,28.869,1425,,,,793,381,3.6,,,,,,
798,384,-1.67,,,28.984,1430,,,,798,384,3.54,,,,,,
802,386.4,-1.75,,,29.098,1435,0.982,,,802,386.4,3.38,,,,,,
808,390,-1.7,,,29.212,1440,0.987,,,808,390,3.54,,,,,,
818,396,#N/A,,,29.327,1445,,,,818,396,3.91,,,,,,
822,398.4,-1.85,,,29.441,1450,0.998,,,822,398.4,4.11,,,,,,
828,402,-2.21,,,29.555,1455,,,,828,402,4.25,,,,,,
833,405,-2.41,,,29.67,1460,,,,833,405,4.26,,,,,,
838,407,-2,,,29.779,1465,0.989,,,838,407,4.26,,,,,,
848,411.1,-2.12,,,29.889,1470,0.995,,,848,411.1,4.38,,,,,,
852,412.8,-2.06,,,29.998,1475,,,,852,412.8,4.48,,,,,,
857,414.8,-1.91,,,30.108,1480,0.994,,,857,414.8,4.43,,,,,,
863,417.3,-1.92,,,30.217,1485,0.995,,,863,417.3,4.06,,,,,,
868,419.3,-1.67,,,30.326,1490,,,,868,419.3,4.07,,,,,,
877,423,-1.49,,,30.435,1495,,,,877,423,3.99,,,,,,
882,425.1,-1.25,,,30.545,1500,,,,882,425.1,3.92,,,,,,
888,427.7,-0.77,,,,,,,,888,427.7,3.85,,,,,,
895,430.7,-0.75,,,,,,,,895,430.7,3.26,,,,,,
899,432.4,-0.77,,,,,,,,899,432.4,3.29,,,,,,
905,435,-0.44,,,,,,,,905,435,3.41,,,,,,
908,438.4,-0.75,,,,,,,,908,438.4,3.24,,,,,,
912,443,-1.1,,,,,,,,912,443,3.61,,,,,,
918,446.6,-0.99,,,,,,,,918,446.6,3.17,,,,,,
922,449,-1.03,,,,,,,,922,449,3.16,,,,,,
928,452.6,-1.12,,,,,,,,928,452.6,3.03,,,,,,
935,456.8,-1.25,,,,,,,,935,456.8,3.29,,,,,,
942,461,-1.45,,,,,,,,942,461,3.12,,,,,,
947,470,-1.24,,,,,,,,947,470,3.16,,,,,,